TE;NP;NU;Код об’єкта Кодифікатора;Категорія об’єкта Кодифікатора;Назва об’єкта Кодифікатора
3520384602;С;ЗАПОРІЖЖЯ;UA35080150100021227;С;Запоріжжя
3520384603;С;НОВООЛЕКСІЇВКА;UA35080150170056595;С;Новоолексіївка
3520384900;;МИХАЙЛІВСЬКА/С.МИХАЙЛІВКА;UA35080130000048304;Н;Попельнастівська
3520384901;С;МИХАЙЛІВКА;UA35080130140087058;С;Михайлівка
3520384904;С;ПАХАРІВКА;UA35080130170018774;С;Пахарівка
3520384906;С;ТАРАСІВКА;UA35080130220015067;С;Тарасівка
3520385200;;НЕДОГАРСЬКА/С.НЕДОГАРКИ;UA35080150000074379;Н;Приютівська
3520385201;С;НЕДОГАРКИ;UA35080150160017032;С;Недогарки
3520385202;С;ВІЛЬНИЙ ПОСАД;UA35080150050061785;С;Вільний Посад
3520385203;С;НОВОУЛЯНІВКА;UA35080150180066205;С;Новоулянівка
3520385204;С;ГЛИБОКЕ;UA35080150070067392;С;Глибоке
3520385205;С;МАР'ЇВКА;UA35080150150011201;С;Мар’ївка
3520385500;;ПОПЕЛЬНАСТІВСЬКА/С.ПОПЕЛЬНАСТЕ;UA35080130000048304;Н;Попельнастівська
3520385501;С;ПОПЕЛЬНАСТЕ;UA35080130010041742;С;Попельнасте
3520385900;;ТРАВНЕВСЬКА/С.ТРАВНЕВЕ;UA35080130000048304;Н;Попельнастівська
3520385901;С;ТРАВНЕВЕ;UA35080130240097972;С;Травневе
3520385902;С;БРАТСЬКЕ;UA35080130020013377;С;Братське
3520385903;С;ЗЕЛЕНА БАЛКА;UA35080130070085598;С;Зелена Балка
3520385904;С;ЗЕЛЕНЕ;UA35080130080035490;С;Зелене
3520386200;;ПРОТОПОПІВСЬКА/С.ПРОТОПОПІВКА;UA35080150000074379;Н;Приютівська
3520386201;С;ПРОТОПОПІВКА;UA35080150190092957;С;Протопопівка
3520386202;С;БЕРЕЗІВКА;UA35080150030026856;С;Березівка
3520386204;С;ДІБРОВИ;UA35080150080063493;С;Діброви
3520386208;С;ЯГІДНЕ;UA35080150230098645;С;Ягідне
3520386600;;СВІТЛОПІЛЬСЬКА/С.СВІТЛОПІЛЬ;UA35080030000042560;Н;Новопразька
3520386601;С;СВІТЛОПІЛЬ;UA35080030070096356;С;Світлопіль
3520386700;;ЩАСЛИВСЬКА/С.ЩАСЛИВЕ;UA35080130000048304;Н;Попельнастівська
3520386701;С;ЩАСЛИВЕ;UA35080130290073125;С;Щасливе
3520386800;;УЛЯНІВСЬКА/С.УЛЯНІВКА;UA35080130000048304;Н;Попельнастівська
3520386801;С;УЛЯНІВКА;UA35080130260053536;С;Улянівка
3520386805;С;ПЕРШОТРАВНЕВЕ;UA35080130180036842;С;Першотравневе
3520386807;С;ТАРАСОВО-ШЕВЧЕНКОВЕ;UA35080130230075201;С;Тарасово-Шевченкове
3520386809;С;ЧЕРВОНИЙ ПОДІЛ;UA35080130280075013;С;Червоний Поділ
3520386900;;ЧЕРВОНОКАМ'ЯНСЬКА/С.ЧЕРВОНА КАМ'ЯНКА;UA35080130000048304;Н;Попельнастівська
3520386901;С;ЧЕРВОНА КАМ'ЯНКА;UA35080130270077699;С;Червона Кам’янка
3520386903;С;ЯЛИНІВКА;UA35080130300071162;С;Ялинівка
3520387300;;ШАРІВСЬКА/С.ШАРІВКА;UA35080030000042560;Н;Новопразька
3520387301;С;ШАРІВКА;UA35080030090025265;С;Шарівка
3520387302;Щ;ГАЙОВЕ;UA35080030110047835;Х;Гайове
3520387303;Щ;КВІТНЕВЕ;UA35080030120082073;Х;Квітневе
3520500000;;ОЛЕКСАНДРІВСЬКИЙ РАЙОН/СМТ ОЛЕКСАНДРІВКА;UA35040000000034705;Р;Кропивницький
3520555000;;СЕЛИЩА МІСЬКОГО ТИПУ ОЛЕКСАНДРІВСЬКОГО Р-НУ;UA35040000000034705;Р;Кропивницький
3520555100;Т;ОЛЕКСАНДРІВКА;UA35040250010018304;T;Олександрівка
3520555101;С;КИТАЙГОРОД;UA35040250190016925;С;Китайгород
3520555105;С;СЕВЕРИНІВКА;UA35040250430050035;С;Северинівка
3520555400;Т;ЄЛИЗАВЕТГРАДКА;UA35040250020088455;Т;Єлизаветградка
3520555401;С;ПЛІШКИ;UA35040250350085848;С;Плішки
3520555500;Т;ЛІСОВЕ;UA35040250030095286;Т;Лісове
3520580000;;СІЛЬРАДИ ОЛЕКСАНДРІВСЬКОГО Р-НУ;UA35040000000034705;Р;Кропивницький
3520580300;;БІРКІВСЬКА/С.БІРКИ;UA35040250000048915;Н;Олександрівська
3520580301;С;БІРКИ;UA35040250070039587;С;Бірки
3520580500;;БОВТИСЬКА/С.БОВТИШКА;UA35040250000048915;Н;Олександрівська
3520580501;С;БОВТИШКА;UA35040250080030499;С;Бовтишка
3520581500;;БУКВАРСЬКА/С.БУКВАРКА;UA35040250000048915;Н;Олександрівська
3520581501;С;БУКВАРКА;UA35040250090016867;С;Букварка
3520581502;С;РОЗДОЛЛЯ;UA35040250390081465;С;Роздолля
3520581503;С;ТАРАСІВКА;UA35040250480015278;С;Тарасівка
3520581700;;ВЕСЕЛІВСЬКА/С.ВЕСЕЛЕ;UA35040250000048915;Н;Олександрівська
3520581701;С;ВЕСЕЛЕ;UA35040250110056150;С;Веселе
3520581703;С;ГАЙОВЕ;UA35040250130081478;С;Гайове
3520581705;С;ПОЛЬОВЕ;UA35040250360015124;С;Польове
3520582000;;ВИЩЕВЕРЕЩАКІВСЬКА/С.ВИЩІ ВЕРЕЩАКИ;UA35040250000048915;Н;Олександрівська
3520582001;С;ВИЩІ ВЕРЕЩАКИ;UA35040250120066179;С;Вищі Верещаки
3520582002;С;БУРЯКОВЕ;UA35040250100035949;С;Бурякове
3520582003;С;ЛЮБОМИРКА;UA35040250240075320;С;Любомирка
3520582004;С;НАСТИНЕ;UA35040250290071881;С;Настине
3520582500;;ГОЛИКІВСЬКА/С.ГОЛИКОВЕ;UA35040250000048915;Н;Олександрівська
3520582501;С;ГОЛИКОВЕ;UA35040250140084707;С;Голикове
3520582502;С;КРИМКИ;UA35040250220037488;С;Кримки
3520583000;;ІВАНГОРОДСЬКА/С.ІВАНГОРОД;UA35040250000048915;Н;Олександрівська
3520583001;С;ІВАНГОРОД;UA35040250170057768;С;Івангород
3520583004;С;СТРИМІВКА;UA35040250470013935;С;Стримівка
3520583500;;КРАСНОСІЛКІВСЬКА/С.КРАСНОСІЛКА;UA35040250000048915;Н;Олександрівська
3520583501;С;КРАСНОСІЛКА;UA35040250200011226;С;Красносілка
3520583502;С;БАНДУРОВЕ;UA35040250050080409;С;Бандурове
3520584000;;КРАСНОСІЛЬСЬКА/С.КРАСНОСІЛЛЯ;UA35040250000048915;Н;Олександрівська
3520584001;С;КРАСНОСІЛЛЯ;UA35040250210028199;С;Красносілля
3520584002;С;ГУТНИЦЬКА;UA35040250160085471;С;Гутницька
3520584500;;МИХАЙЛІВСЬКА/С.МИХАЙЛІВКА;UA35040250000048915;Н;Олександрівська
3520584501;С;МИХАЙЛІВКА;UA35040250270060567;С;Михайлівка
3520584502;С;ГРИРОРІВКА;UA35040250150070966;С;Григорівка
3520584700;;НЕСВАТКІВСЬКА/С.НЕСВАТКОВЕ;UA35040250000048915;Н;Олександрівська
3520584701;С;НЕСВАТКОВЕ;UA35040250300056364;С;Несваткове
3520585000;;ПІДЛІСНЕНСЬКА/С.ПІДЛІСНЕ;UA35040250000048915;Н;Олександрівська
3520585001;С;ПІДЛІСНЕ;UA35040250340089578;С;Підлісне
3520585500;;РОЗУМІВСЬКА/С.РОЗУМІВКА;UA35040250000048915;Н;Олександрівська
3520585501;С;РОЗУМІВКА;UA35040250400069942;С;Розумівка
3520585502;С;МИКОЛАЇВКА;UA35040250260037267;С;Миколаївка
3520586000;;РОДНИКІВСЬКА/С.РОДНИКІВКА;UA35040250000048915;Н;Олександрівська
3520586001;С;РОДНИКІВКА;UA35040250380040685;С;Родниківка
3520586002;С;ЛИПІВКА;UA35040250230094852;С;Липівка
3520586003;С;МАР'ЯНІВКА;UA35040250250065633;С;Мар’янівка
3520586004;С;МОГИЛІВ КУРІНЬ;UA35040250280066552;С;Могилів Курінь
3520586005;С;ЯСИНУВАТКА;UA35040250530048519;С;Ясинуватка
3520586500;;СОСНІВСЬКА/С.СОСНІВКА;UA35040250000048915;Н;Олександрівська
3520586501;С;СОСНІВКА;UA35040250440055430;С;Соснівка
3520586502;С;НИЖЧІ ВЕРЕЩАКИ;UA35040250310076996;С;Нижчі Верещаки
3520587000;;СТАВИДЛЯНСЬКА/С.СТАВИДЛА;UA35040250000048915;Н;Олександрівська
3520587001;С;СТАВИДЛА;UA35040250450083385;С;Ставидла
3520587002;С;СВІТОВА ЗІРКА;UA35040250420074908;С;Світова Зірка
3520587003;С;ХАЙНІВКА;UA35040250500091366;С;Хайнівка
3520587500;;СТАРООСОТСЬКА/С.СТАРА ОСОТА;UA35040250000048915;Н;Олександрівська
3520587501;С;СТАРА ОСОТА;UA35040250460076324;С;Стара Осота
3520587502;С;ІВАНІВКА;UA35040250180052191;С;Іванівка
3520587503;С;НОВА ОСОТА;UA35040250320039301;С;Нова Осота
3520587504;С;ПОСЕЛЯНІВКА;UA35040250370044743;С;Поселянівка
3520588000;;ТРИЛІСЬКА/С.ТРИЛІСИ;UA35040250000048915;Н;Олександрівська
3520588001;С;ТРИЛІСИ;UA35040250490071284;С;Триліси
3520588002;С;АНТОНІВКА;UA35040250040095867;С;Антонівка
3520588500;;ЦВІТНЕНСЬКА/С.ЦВІТНЕ;UA35040250000048915;Н;Олександрівська
3520588501;С;ЦВІТНЕ;UA35040250510042836;С;Цвітне
3520588502;С;РУЖИЧЕВЕ;UA35040250410099166;С;Ружичеве
3520588600;;ЯСИНІВСЬКА/С.ЯСИНОВЕ;UA35040250000048915;Н;Олександрівська
3520588601;С;ЯСИНОВЕ;UA35040250520058824;С;Ясинове
3520588603;С;БІЛЯЇВКА;UA35040250060043576;С;Біляївка
3520588605;С;ОМЕЛЬГОРОД;UA35040250330072325;С;Омельгород
3520800000;;БОБРИНЕЦЬКИЙ РАЙОН/М.БОБРИНЕЦЬ;UA35040000000034705;Р;Кропивницький
3520810000;;МІСТА РАЙОННОГО ПІДПОРЯДКУВАННЯ БОБРИНЕЦЬКОГО Р-НУ;UA35040000000034705;Р;Кропивницький
3520810100;М;БОБРИНЕЦЬ;UA35040030010012943;M;Бобринець
3520810101;С;ДІБРІВКА;UA35040030040079492;С;Дібрівка
3520810102;С;ОБЛАНКА;UA35040030060077932;С;Обланка
3520810103;С;ШЛЯХОВЕ;UA35040030090094751;С;Шляхове
3520810104;С;БОГДАНІВКА;UA35040030020086848;С;Богданівка
3520810105;С;ВЕЛИКОДРЮКОВЕ;UA35040030030039583;С;Великодрюкове
3520810106;С;КОРЖЕВЕ;UA35040030050036230;С;Коржеве
3520810107;С;САДОВЕ;UA35040030070058416;С;Садове
3520810108;С;ЧЕРВОНА ДОЛИНА;UA35040030080016882;С;Червона Долина
3520880000;;СІЛЬРАДИ БОБРИНЕЦЬКОГО Р-НУ;UA35040000000034705;Р;Кропивницький
3520880300;;ОЛЕКСІЇВСЬКА/С.ОЛЕКСІЇВКА;UA35040170000065192;Н;Кетрисанівська
3520880301;С;ОЛЕКСІЇВКА;UA35040170440022836;С;Олексіївка
3520880800;;БОБРИНКІВСЬКА/С.БОБРИНКА;UA35040170000065192;Н;Кетрисанівська
3520880801;С;БОБРИНКА;UA35040170070044767;С;Бобринка
3520880802;С;ВАРЛАМІВКА;UA35040170110017800;С;Варламівка
3520880803;С;ГОРІХІВКА;UA35040170200061368;С;Горіхівка
3520881200;;БУХОВЕЦЬКА/С.БУХОВЕЦЬКЕ;UA35040170000065192;Н;Кетрисанівська
3520881201;С;БУХОВЕЦЬКЕ;UA35040170100065190;С;Буховецьке
3520881202;С;МАКОВІЇВКА;UA35040170330080161;С;Маковіївка
3520881600;;ВАСИЛІВСЬКА/С.ВАСИЛІВКА;UA35040170000065192;Н;Кетрисанівська
3520881601;С;ВАСИЛІВКА;UA35040170120083527;С;Василівка
3520881602;С;БЕРЕСЛАВКА;UA35040170050081646;С;Береславка
3520881604;С;НИКОНОРІВКА;UA35040170380052210;С;Никонорівка
3520881605;С;НОВОГОМЕЛЬСЬКЕ;UA35040170390032867;С;Новогомельське
3520882400;;ВЕРХНЬОІНГУЛЬСЬКА/С.ВЕРХНЬОІНГУЛЬСЬКЕ;UA35040170000065192;Н;Кетрисанівська
3520882401;С;ВЕРХНЬОІНГУЛЬСЬКЕ;UA35040170140023665;С;Верхньоінгульське
3520882402;С;ЯБЛУЧКО;UA35040170700059498;С;Яблучко
3520882403;С;ОЛЕНІВСЬКЕ;UA35040170450047907;С;Оленівське
3520882404;С;СТЕПАНІВКА;UA35040170570048802;С;Степанівка
3520882800;;ВЕСЕЛІВСЬКА/С.ВЕСЕЛІВКА;UA35040170000065192;Н;Кетрисанівська
3520882801;С;ВЕСЕЛІВКА;UA35040170150034746;С;Веселівка
3520882802;С;КРУТОЯРКА;UA35040170310060745;С;Крутоярка
3520882803;Щ;РОЗДОЛЛЯ;UA35040170720052138;Х;Роздолля
3520882804;С;УДАРНЕ;UA35040170620066720;С;Ударне
3520882805;С;ЮР'ЇВКА;UA35040170690036480;С;Юр’ївка
3520883200;;ВИТЯЗІВСЬКА/С.ВИТЯЗІВКА;UA35040170000065192;Н;Кетрисанівська
3520883201;С;ВИТЯЗІВКА;UA35040170170040208;С;Витязівка
3520883202;С;ДОНЧИНЕ;UA35040170220051447;С;Дончине
3520883203;С;ЗОРЯНЕ;UA35040170260040763;С;Зоряне
3520883600;;АПРЕЛІВСЬКА/С.АПРЕЛІВСЬКЕ;UA35040170000065192;Н;Кетрисанівська
3520883601;С;АПРЕЛІВСЬКЕ;UA35040170030093015;С;Апрелівське
3520883602;С;АПРЕЛІВКА;UA35040170020035998;С;Апрелівка
3520883603;С;РОЗТИЧЕВЕ;UA35040170530027621;С;Розтичеве
3520883800;;КЕТРИСАНІВСЬКА/С.КЕТРИСАНІВКА;UA35040170000065192;Н;Кетрисанівська
3520883801;С;КЕТРИСАНІВКА;UA35040170010087927;С;Кетрисанівка
3520884000;;КОСТОМАРІВСЬКА/С.КОСТОМАРІВКА;UA35040170000065192;Н;Кетрисанівська
3520884001;С;КОСТОМАРІВКА;UA35040170280031731;С;Костомарівка
3520884002;С;БЕРЕЗІВКА;UA35040170040031077;С;Березівка
3520884004;С;КОХАНЕ;UA35040170290058902;С;Кохане
3520884005;С;МАЙСЬКЕ;UA35040170320035175;С;Майське
3520884200;;БЛАГОДАТНЕНСЬКА/С.БЛАГОДАТНЕ;UA35040170000065192;Н;Кетрисанівська
3520884201;С;БЛАГОДАТНЕ;UA35040170060082179;С;Благодатне
3520884203;С;ГРУЗЬКЕ;UA35040170210099413;С;Грузьке
3520884205;С;ОСИКУВАТЕ;UA35040170460020895;С;Осикувате
3520884207;С;УЛЯНІВКА;UA35040170630075751;С;Улянівка
3520884400;;МАР'ЯНІВСЬКА/С.МАР'ЯНІВКА;UA35040170000065192;Н;Кетрисанівська
3520884401;С;МАР'ЯНІВКА;UA35040170350015251;С;Мар’янівка
3520884800;;МИКОЛО-БАБАНСЬКА/С.МИКОЛО-БАБАНКА;UA35040170000065192;Н;Кетрисанівська
3520884801;С;МИКОЛО-БАБАНКА;UA35040170360072875;С;Миколо-Бабанка
3520884802;С;ПРОСКУРІВКА;UA35040170520013938;С;Проскурівка
3520884803;С;СОРОЧАНОВЕ;UA35040170560046626;С;Сорочанове
3520885600;;НОВОГРАДІВСЬКА/С.НОВОГРАДІВКА;UA35040170000065192;Н;Кетрисанівська
3520885601;С;НОВОГРАДІВКА;UA35040170400028399;С;Новоградівка
3520885602;С;ВОДЯНО-МИХАЙЛІВКА;UA35040170180024875;С;Водяно-Михайлівка
3520885603;С;НОВОСАМАРА;UA35040170430078797;С;Новосамара
3520885604;С;ПЕНЬКОВЕ;UA35040170480056138;С;Пенькове
3520885800;;НОВОМИКОЛАЇВСЬКА/С.НОВОМИКОЛАЇВКА;UA35040170000065192;Н;Кетрисанівська
3520885801;С;НОВОМИКОЛАЇВКА;UA35040170420081435;С;Новомиколаївка
3520885803;С;СТЕПІВКА;UA35040170580081526;С;Степівка
3520885805;С;ЧИГИРИНСЬКЕ;UA35040170680071008;С;Чигиринське
3520886000;;ПАВЛОГІРКІВСЬКА/С.ПАВЛОГІРКІВКА;UA35040170000065192;Н;Кетрисанівська
3520886001;С;ПАВЛОГІРКІВКА;UA35040170470029174;С;Павлогірківка
3520886002;С;БРЕДИХИНЕ;UA35040170090072829;С;Бредихине
3520886003;С;ПОЛЯНА;UA35040170510017976;С;Поляна
3520886400;;РОЩАХІВСЬКА/С.РОЩАХІВКА;UA35040170000065192;Н;Кетрисанівська
3520886401;С;РОЩАХІВКА;UA35040170540039481;С;Рощахівка
3520886402;С;ГАННОПІЛЬ;UA35040170190040841;С;Ганнопіль
3520886403;С;МАРІУПОЛЬ;UA35040170340027152;С;Маріуполь
3520886800;;ЗЛАТОПІЛЬСЬКА/С.ЗЛАТОПІЛЛЯ;UA35040170000065192;Н;Кетрисанівська
3520886801;С;ЗЛАТОПІЛЛЯ;UA35040170250088758;С;Златопілля
3520886802;С;ПІЩАНЕ;UA35040170490098665;С;Піщане
3520886803;С;ПОЛУМ'ЯНЕ;UA35040170500094658;С;Полум’яне
3520886900;;СОЛОНЦЮВАТСЬКА/С.СОЛОНЦЮВАТКА;UA35040170000065192;Н;Кетрисанівська
3520886901;С;СОЛОНЦЮВАТКА;UA35040170550097097;С;Солонцюватка
3520886903;С;ЗАВАДІВКА;UA35040170230053065;С;Завадівка
3520886905;С;ТРУДОЛЮБІВКА;UA35040170610039883;С;Трудолюбівка
3520887000;;СУГОКЛІЇВСЬКА/С.СУГОКЛІЇВКА;UA35040170000065192;Н;Кетрисанівська
3520887001;С;СУГОКЛІЇВКА;UA35040170590014073;С;Сугокліївка
3520887002;С;БОРИСІВКА;UA35040170080091568;С;Борисівка
3520887003;С;МЮДІВКА;UA35040170370038565;С;Мюдівка
3520887004;Щ;ЮЖНЕ;UA35040170730059405;Х;Южне
3520887200;;ТАРАСІВСЬКА/С.ТАРАСІВКА;UA35040170000065192;Н;Кетрисанівська
3520887201;С;ТАРАСІВКА;UA35040170600045673;С;Тарасівка
3520887203;С;ЗАХІДНЕ;UA35040170240029347;С;Західне
3520887204;С;ІВАНІВКА;UA35040170270026130;С;Іванівка
3520887206;С;НОВОКИЇВКА;UA35040170410014270;С;Новокиївка
3520887207;С;ЧЕРВОНОПІЛЛЯ;UA35040170670041731;С;Червонопілля
3520887600;;ФЕДІЇВСЬКА/С.ФЕДІЇВКА;UA35040170000065192;Н;Кетрисанівська
3520887601;С;ФЕДІЇВКА;UA35040170640099666;С;Федіївка
3520887602;С;ВИСОЧАНОВЕ;UA35040170160022785;С;Височанове
3520887603;С;ФЕДОРІВКА;UA35040170650035166;С;Федорівка
3520887800;;ЧАРІВНЕНСЬКА/С.ЧАРІВНЕ;UA35040170000065192;Н;Кетрисанівська
3520887801;С;ЧАРІВНЕ;UA35040170660069687;С;Чарівне
3520887802;С;ВЕРЕМІЇВКА;UA35040170130019661;С;Вереміївка
3520887805;Щ;МИРНЕ;UA35040170710064810;Х;Мирне
3520888000;;КРИВОНОСІВСЬКА/С.КРИВОНОСОВЕ;UA35040170000065192;Н;Кетрисанівська
3520888001;С;КРИВОНОСОВЕ;UA35040170300025012;С;Кривоносове
3521100000;;ГАЙВОРОНСЬКИЙ РАЙОН/М.ГАЙВОРОН;UA35020000000074289;Р;Голованівський
3521110000;;МІСТА РАЙОННОГО ПІДПОРЯДКУВАННЯ ГАЙВОРОНСЬКОГО Р-НУ;UA35020000000074289;Р;Голованівський
3521110100;М;ГАЙВОРОН;UA35020050010071459;M;Гайворон
3521110101;С;САДОВЕ;UA35020050120090858;С;Садове
3521155000;;СЕЛИЩА МІСЬКОГО ТИПУ ГАЙВОРОНСЬКОГО Р-НУ;UA35020000000074289;Р;Голованівський
3521155300;Т;ЗАВАЛЛЯ;UA35020090010015781;T;Завалля
3521155600;Т;САЛЬКОВЕ;UA35020090020061920;Т;Салькове
3521180000;;СІЛЬРАДИ ГАЙВОРОНСЬКОГО Р-НУ;UA35020000000074289;Р;Голованівський
3521180400;;БАНДУРІВСЬКА/С.БАНДУРОВЕ;UA35020050000014205;Н;Гайворонська
3521180401;С;БАНДУРОВЕ;UA35020050020085562;С;Бандурове
3521180800;;БЕРЕСТЯГІВСЬКА/С.БЕРЕСТЯГИ;UA35020050000014205;Н;Гайворонська
3521180801;С;БЕРЕСТЯГИ;UA35020050030021252;С;Берестяги
3521181300;;ДОЛИНІВСЬКА/С.ДОЛИНІВКА;UA35020050000014205;Н;Гайворонська
3521181301;С;ДОЛИНІВКА;UA35020050060090117;С;Долинівка
3521181302;С;ПЕРЕЯМПІЛЬ;UA35020050090039560;С;Переямпіль
3521181700;;ЖАКЧИЦЬКА/С.ЖАКЧИК;UA35020090000039429;Н;Заваллівська
3521181701;С;ЖАКЧИК;UA35020090050080873;С;Жакчик
3521182400;;КАЗАВЧИНСЬКА/С.КАЗАВЧИН;UA35020050000014205;Н;Гайворонська
3521182401;С;КАЗАВЧИН;UA35020050070028877;С;Казавчин
3521182402;С;БУГОВЕ;UA35020050040092347;С;Бугове
3521182800;;ПОКРОВСЬКА/С.ПОКРОВСЬКЕ;UA35020050000014205;Н;Гайворонська
3521182801;С;ПОКРОВСЬКЕ;UA35020050100082956;С;Покровське
3521183600;;МОГИЛЬНЕНСЬКА/С.МОГИЛЬНЕ;UA35020090000039429;Н;Заваллівська
3521183601;С;МОГИЛЬНЕ;UA35020090070021528;С;Могильне
3521183602;С;ВІЛЬХОВЕЦЬКЕ;UA35020090040041327;С;Вільховецьке
3521183603;С;КЛЕНОВЕ;UA35020090060059135;С;Кленове
3521184000;;МОЩЕНСЬКА/С.МОЩЕНЕ;UA35020050000014205;Н;Гайворонська
3521184001;С;МОЩЕНЕ;UA35020050080045015;С;Мощене
3521184400;;ВІКНИНСЬКА/С.ВІКНИНА;UA35020050000014205;Н;Гайворонська
3521184401;С;ВІКНИНА;UA35020050050011176;С;Вікнина
3521184900;;СОЛГУТІВСЬКА/С.СОЛГУТОВЕ;UA35020050000014205;Н;Гайворонська
3521184901;С;СОЛГУТОВЕ;UA35020050130064577;С;Солгутове
3521185100;;СОЛОМІЇВСЬКА/С.СОЛОМІЯ;UA35020050000014205;Н;Гайворонська
3521185102;С;СОЛОМІЯ;UA35020050140095133;С;Соломія
3521186000;;ТАУЖНЕНСЬКА/С.ТАУЖНЕ;UA35020090000039429;Н;Заваллівська
3521186001;С;ТАУЖНЕ;UA35020090080086610;С;Таужне
3521186002;С;ТРАКТ;UA35020090100035414;С;Тракт
3521186003;С;ЧЕРВОНІ МАЯКИ;UA35020090120079080;С;Червоні Маяки
3521186200;;ТОПОЛІВСЬКА/С.ТОПОЛІ;UA35020050000014205;Н;Гайворонська
3521186201;С;ТОПОЛІ;UA35020050150097206;С;Тополі
3521186800;;ХАЩУВАТСЬКА/С.ХАЩУВАТЕ;UA35020050000014205;Н;Гайворонська
3521186801;С;ХАЩУВАТЕ;UA35020050160038745;С;Хащувате
3521186802;С;ПРОГРЕС;UA35020050110076173;С;Прогрес
3521187600;;ЧЕМЕРПІЛЬСЬКА/С.ЧЕМЕРПІЛЬ;UA35020090000039429;Н;Заваллівська
3521187601;С;ЧЕМЕРПІЛЬ;UA35020090110093020;С;Чемерпіль
3521187602;С;БЕРЕЗІВКА;UA35020090030078013;С;Березівка
3521187603;С;ТАШЛИК;UA35020090090063740;С;Ташлик
3521188300;;ЧЕРВОНЕНСЬКА/С.ЧЕРВОНЕ;UA35020050000014205;Н;Гайворонська
3521188301;С;ЧЕРВОНЕ;UA35020050170010814;С;Червоне
3521400000;;ГОЛОВАНІВСЬКИЙ РАЙОН/СМТ ГОЛОВАНІВСЬК;UA35020000000074289;Р;Голованівський
3521455000;;СЕЛИЩА МІСЬКОГО ТИПУ ГОЛОВАНІВСЬКОГО Р-НУ;UA35020000000074289;Р;Голованівський
3521455100;Т;ГОЛОВАНІВСЬК;UA35020070010065136;T;Голованівськ
3521455101;Щ;ГОЛОВАНІВСЬК;UA35020070310075273;Х;Голованівськ
3521455500;Т;ПОБУЗЬКЕ;UA35020190010041166;T;Побузьке
3521480000;;СІЛЬРАДИ ГОЛОВАНІВСЬКОГО Р-НУ;UA35020000000074289;Р;Голованівський
3521480500;;ВЕРБІВСЬКА/С.ВЕРБОВЕ;UA35020070000018243;Н;Голованівська
3521480501;С;ВЕРБОВЕ;UA35020070020084625;С;Вербове
3521480800;;ГРУЗЬКА/С.ГРУЗЬКЕ;UA35020070000018243;Н;Голованівська
3521480801;С;ГРУЗЬКЕ;UA35020070030036760;С;Грузьке
3521480802;С;ЯСНЕ;UA35020070300073526;С;Ясне
3521481300;;ЄМИЛІВСЬКА/С.ЄМИЛІВКА;UA35020070000018243;Н;Голованівська
3521481301;С;ЄМИЛІВКА;UA35020070040034035;С;Ємилівка
3521481302;Щ;ЄМИЛІВКА;UA35020070320089094;Х;Ємилівка
3521481800;;ЖУРАВЛИНСЬКА/С.ЖУРАВЛИНКА;UA35020070000018243;Н;Голованівська
3521481801;С;ЖУРАВЛИНКА;UA35020070050084110;С;Журавлинка
3521481802;С;ЦВІТКОВЕ;UA35020070280064178;С;Цвіткове
3521482300;;КАПІТАНСЬКА/С.КАПІТАНКА;UA35020190000025203;Н;Побузька
3521482301;С;КАПІТАНКА;UA35020190030025864;С;Капітанка
3521482800;;КЛИНІВСЬКА/С.КЛИНОВЕ;UA35020070000018243;Н;Голованівська
3521482801;С;КЛИНОВЕ;UA35020070070053744;С;Клинове
3521482802;С;КОВАЛІВКА;UA35020070080029700;С;Ковалівка
3521483200;;КРАСНОГІРСЬКА/С.КРАСНОГІРКА;UA35020070000018243;Н;Голованівська
3521483201;С;КРАСНОГІРКА;UA35020070100066582;С;Красногірка
3521483202;С;МАНЖУРКА;UA35020070120084273;С;Манжурка
3521483900;;КРУТЕНЬКІВСЬКА/С.КРУТЕНЬКЕ;UA35020150000027557;Н;Перегонівська
3521483901;С;КРУТЕНЬКЕ;UA35020150030043477;С;Крутеньке
3521484200;;ЛЕБЕДИНСЬКА/С.ЛЕБЕДИНКА;UA35020150000027557;Н;Перегонівська
3521484201;С;ЛЕБЕДИНКА;UA35020150040022316;С;Лебединка
3521484202;С;ЛЕЩІВКА;UA35020150050075301;С;Лещівка
3521484203;С;ТАБАНОВЕ;UA35020150080027483;С;Табанове
3521484204;С;ТЕРНОВЕ;UA35020150090090217;С;Тернове
3521484600;;ЛИПОВЕНЬКІВСЬКА/С.ЛИПОВЕНЬКЕ;UA35020190000025203;Н;Побузька
3521484601;С;ЛИПОВЕНЬКЕ;UA35020190050086393;С;Липовеньке
3521484602;С;ГРУЗЯНКА;UA35020190020060249;С;Грузянка
3521484603;С;ЛИПНЯГИ;UA35020190040085429;С;Липняги
3521484800;;ЛЮШНЮВАТСЬКА/С.ЛЮШНЮВАТЕ;UA35020190000025203;Н;Побузька
3521484801;С;ЛЮШНЮВАТЕ;UA35020190060059562;С;Люшнювате
3521485200;;МЕЖИРІЧКІВСЬКА/С.МЕЖИРІЧКА;UA35020070000018243;Н;Голованівська
3521485201;С;МЕЖИРІЧКА;UA35020070160043352;С;Межирічка
3521485202;С;КРАСНОПІЛЛЯ;UA35020070110060263;С;Краснопілля
3521485600;;МОЛДОВСЬКА/С.МОЛДОВКА;UA35020070000018243;Н;Голованівська
3521485601;С;МОЛДОВКА;UA35020070170038814;С;Молдовка
